time,hand_label,x,y,z
1751976096.174,left,-252.558,503.405,356.552
1751976096.245,left,-253.328,473.773,347.658
1751976096.278,left,-268.719,432.863,363.546
1751976096.327,left,-253.667,447.643,350.545
1751976096.387,left,-270.458,420.157,346.405
1751976096.439,left,-271.296,416.315,336.651
1751976096.490,left,-258.849,433.007,329.511
1751976096.546,left,-272.484,410.231,333.072
1751976096.603,left,-256.259,432.825,330.544
1751976096.666,right,-468.336,463.971,347.963
1751976096.716,left,-284.201,439.252,332.905
1751976096.752,left,-290.684,450.099,331.076
1751976096.801,right,-446.243,412.268,307.726
1751976096.853,left,-303.623,477.619,324.994
1751976096.903,right,-457.161,393.513,368.164
1751976096.942,left,-306.157,489.876,323.090
1751976096.986,left,-306.113,493.007,320.859
1751976097.037,left,-304.706,494.602,313.734
1751976097.095,right,-456.956,346.996,241.183
1751976097.156,right,-456.796,346.951,242.190
1751976097.217,left,-297.825,487.920,301.227
1751976097.254,left,-295.508,472.701,316.378
1751976097.291,left,-293.706,470.429,293.494
1751976097.348,left,-272.061,470.810,304.637
1751976097.393,right,-449.806,420.574,363.250
1751976097.460,right,-427.728,431.525,364.608
1751976097.512,right,-417.340,453.063,363.121
1751976097.543,right,-417.707,465.873,349.159
1751976097.582,left,-252.080,408.256,326.329
1751976097.621,left,-250.692,405.684,325.522
1751976097.671,left,-267.784,383.028,341.083
1751976097.719,left,-251.138,406.286,331.491
1751976097.778,left,-268.870,389.947,337.568
1751976097.832,right,-417.019,462.104,335.399
1751976097.895,right,-457.949,372.690,292.460
1751976097.964,right,-444.488,440.920,346.776
1751976098.024,right,-425.363,399.562,367.935
1751976098.073,right,-464.448,436.691,357.980
1751976098.115,right,-443.872,368.288,293.873
1751976098.167,right,-445.851,357.306,291.645
1751976098.217,right,-456.485,341.266,235.584
1751976098.275,right,-448.412,333.411,296.362
1751976098.339,right,-449.676,322.082,307.198
1751976098.398,right,-486.728,401.667,365.376
1751976098.449,right,-485.916,400.623,363.452
1751976098.485,right,-450.510,316.790,285.517
1751976098.531,right,-447.604,317.968,303.498
1751976098.573,right,-447.318,319.446,296.375
1751976098.614,right,-484.105,409.289,364.843
1751976098.668,right,-463.715,382.807,361.875
1751976098.713,right,-454.059,345.109,250.362
1751976098.766,right,-444.805,353.197,289.943
1751976098.794,right,-461.606,426.097,360.768
1751976098.855,right,-450.481,406.925,361.223
1751976098.907,right,-448.909,418.297,361.415
1751976098.946,left,-301.173,451.630,322.876
1751976098.985,right,-449.468,453.750,360.856
1751976099.028,right,-432.838,444.480,362.637
1751976099.075,left,-316.681,377.049,324.150
1751976099.116,left,-318.134,369.284,320.691
1751976099.156,left,-316.821,362.095,327.234
1751976099.201,left,-318.231,356.855,325.598
1751976099.239,left,-319.645,350.133,326.074
1751976099.294,left,-319.667,348.837,325.165
1751976099.348,left,-300.614,362.414,320.299
1751976099.392,left,-300.643,360.992,321.404
1751976099.433,left,-300.628,361.058,320.397
1751976099.485,left,-319.673,347.439,326.269
1751976099.545,left,-303.324,367.489,324.928
1751976099.597,right,-431.732,469.684,349.795
1751976099.655,right,-446.108,464.390,364.120
1751976099.712,right,-445.369,450.752,370.123
1751976099.755,right,-427.917,405.149,383.557
1751976099.793,left,-298.490,444.404,318.402
1751976099.827,right,-458.790,377.832,243.957
1751976099.876,right,-464.129,338.082,243.785
1751976099.926,right,-466.027,375.714,370.394
1751976099.971,right,-489.744,400.660,363.424
1751976100.021,right,-494.000,393.799,356.873
1751976100.074,right,-496.417,398.261,351.522
1751976100.116,right,-483.411,380.970,341.827
1751976100.162,left,-286.180,478.120,274.940
1751976100.219,left,-283.435,460.212,273.244
1751976100.260,left,-283.099,455.146,261.580
1751976100.303,left,-300.244,431.954,234.067
1751976100.335,right,-491.109,449.469,297.728
1751976100.376,left,-302.163,402.383,248.221
1751976100.420,left,-285.857,409.921,244.776
1751976100.451,left,-285.992,396.652,245.733
1751976100.502,right,-501.451,463.904,254.507
1751976100.543,left,-269.688,402.500,244.415
1751976100.595,left,-269.492,398.583,239.686
1751976100.640,left,-269.329,396.010,235.862
1751976100.681,left,-269.266,397.601,234.745
1751976100.724,left,-270.586,400.912,231.489
1751976100.772,left,-270.665,406.571,234.088
1751976100.815,right,-520.109,424.288,228.170
1751976100.863,left,-285.586,399.456,232.499
1751976100.914,right,-518.459,437.377,240.270
1751976100.970,right,-519.461,460.835,239.572
1751976101.025,left,-302.793,461.150,217.905
1751976101.073,right,-524.430,430.054,240.760
1751976101.115,left,-296.562,495.307,225.505
1751976101.160,right,-528.029,388.684,260.768
1751976101.199,right,-528.058,385.789,260.977
1751976101.244,right,-534.535,373.401,253.808
1751976101.278,right,-534.381,367.886,249.194
1751976101.337,right,-533.663,364.751,252.433
1751976101.392,right,-535.688,362.318,244.575
1751976101.451,right,-534.720,359.128,248.822
1751976101.495,right,-535.263,356.615,240.979
1751976101.557,right,-533.043,356.435,244.014
1751976101.606,right,-533.762,357.757,246.922
1751976101.642,right,-533.429,363.223,253.548
1751976101.688,right,-534.815,370.551,253.010
1751976101.734,right,-535.601,380.150,260.332
1751976101.778,right,-539.318,400.025,276.920
1751976101.825,right,-539.060,414.277,286.921
1751976101.879,left,-266.552,431.364,214.277
1751976101.921,right,-535.030,457.168,286.858
1751976101.956,right,-535.522,441.179,292.020
1751976101.992,right,-535.059,460.457,291.634
1751976102.039,left,-252.525,420.374,295.373
1751976102.104,right,-521.427,474.805,294.697
1751976102.158,right,-512.951,494.071,293.361
1751976102.196,left,-214.852,437.718,269.301
1751976102.229,left,-217.411,435.326,266.449
1751976102.279,left,-219.184,433.465,269.580
1751976102.328,left,-218.737,435.488,265.426
1751976102.368,left,-220.613,433.479,269.569
1751976102.409,left,-219.386,434.601,271.501
1751976102.447,left,-219.248,437.608,270.283
1751976102.499,left,-220.235,439.663,266.117
1751976102.559,left,-228.721,381.354,247.212
1751976102.596,left,-229.998,385.894,228.829
1751976102.628,left,-231.699,395.755,264.200
1751976102.670,right,-234.543,399.814,279.930
1751976102.713,right,-539.733,485.775,281.754
1751976102.753,right,-539.707,468.262,294.048
1751976102.792,right,-544.491,428.272,305.928
1751976102.847,right,-546.011,447.332,288.499
1751976102.908,right,-552.658,453.659,283.989
1751976102.948,right,-561.660,437.949,258.996
1751976102.986,right,-558.006,385.696,296.882
1751976103.022,right,-558.452,410.736,283.040
1751976103.068,right,-557.111,400.326,288.813
1751976103.104,right,-561.466,391.047,284.442
1751976103.150,right,-563.260,387.386,278.679
1751976103.195,right,-564.970,387.493,277.657
1751976103.227,right,-565.332,385.183,271.806
1751976103.258,right,-567.391,384.376,264.832
1751976103.302,right,-568.558,384.731,260.789
1751976103.360,right,-569.464,382.092,257.965
1751976103.412,right,-569.696,386.103,261.685
1751976103.474,right,-566.129,389.295,273.509
1751976103.521,right,-563.411,405.072,271.385
1751976103.561,right,-560.410,413.816,280.799
1751976103.619,right,-555.465,391.324,295.490
1751976103.663,right,-553.037,417.853,281.559
1751976103.704,left,-277.690,409.319,261.917
1751976103.757,left,-280.719,399.118,263.637
1751976103.813,left,-289.454,469.775,289.558
1751976103.852,left,-296.614,446.485,289.188
1751976103.901,left,-312.283,416.131,267.215
1751976103.946,left,-308.115,408.677,281.817
1751976103.992,left,-309.586,398.973,267.469
1751976104.044,left,-311.109,390.359,268.081
1751976104.093,left,-297.946,410.604,264.700
1751976104.139,left,-296.567,411.549,268.651
1751976104.188,left,-289.490,446.002,283.254
1751976104.243,left,-302.759,368.421,273.730
1751976104.375,right,-285.263,531.048,258.090
